"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,1,2,0,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2655963,53.4294419,8685600517058320384,38,3,1,2,0,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2656636,53.4402279,-6954263172235078656,58,1,0,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2656917,53.4447221,-7903444783360770048,59,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2657816,53.4591036,8320480176660514816,166,0,0,0,1,0.25,0.25,0.5,1,2
-2.2639186,53.401581,8774893376785942528,38,0,0,0,1,0.25,0.25,0.5,1,2
-2.263952,53.4069741,-2540649673480081920,6,0,1,0,0,0.25,0.25,0.5,1,2
-2.2641527,53.4393324,-1799129505341421824,68,1,3,1,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2624367,53.4051797,6558309216546043904,70,1,2,2,1,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.262481,53.4123705,-794175671944787200,17,2,0,0,0,0.5,1,1,2,2
-2.2625364,53.4213589,-5441153801290021888,93,3,3,0,4,2.5,3,1.73205080756888,1.2,0.692820323027551
-2.2625531,53.4240555,-5944133414741826560,35,0,3,2,0,1.25,2.25,1.5,1.8,1.2
-2.2626418,53.4384369,-5608213471952671744,68,0,0,1,0,0.25,0.25,0.5,1,2
-2.262664,53.4420323,-6104919003042739200,74,0,2,0,0,0.5,1,1,2,2
-2.2627028,53.4483242,605508225165856512,46,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2627695,53.4591102,5228304199853583360,192,0,0,1,0,0.25,0.25,0.5,1,2
-2.2610152,53.4186657,5173944745410239488,41,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2612027,53.4492263,-2768365916960628224,37,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2595106,53.418669,1878073865649755904,87,1,3,4,2,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.259516,53.4195678,-6359262275304226816,51,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2595928,53.4321516,-3186463172877651456,34,2,0,0,2,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.2595982,53.4330505,4728380058564738048,114,1,1,1,1,1,0,0,0,0
-2.2596037,53.4339493,-4347429581144011264,84,4,0,2,3,2.25,2.91666666666667,1.70782512765993,1.2962962962963,0.759033390071081
-2.2596311,53.4384435,2486736712152068608,53,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2596805,53.4465331,4813593830928761856,67,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2597299,53.4546226,6467569402093212672,35,1,0,0,0,0.25,0.25,0.5,1,2
-2.2597574,53.4591168,8864222466996233216,100,0,0,1,0,0.25,0.25,0.5,1,2
-2.2579297,53.4060884,-5577176485274819584,60,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2580223,53.4213688,-4.182704147092e+18,80,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2580277,53.4222676,-5187000936324132864,38,0,0,0,1,0.25,0.25,0.5,1,2
-2.258104,53.4348514,4541397942516936192,97,2,2,0,2,1.5,1,1,0.666666666666667,0.666666666666667
-2.2581258,53.4384468,2641711967522112000,22,0,1,0,0,0.25,0.25,0.5,1,2
-2.2581586,53.4438398,4768270369095828480,28,1,0,0,0,0.25,0.25,0.5,1,2
-2.2581804,53.4474352,-4295180408545597952,160,0,0,2,0,0.5,1,1,2,2
-2.2582131,53.4528282,7688969206081764352,72,1,0,0,0,0.25,0.25,0.5,1,2
-2.2564472,53.4096871,-8491193124248103936,67,2,0,0,0,0.5,1,1,2,2
-2.256588,53.433057,3189310789920967168,21,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2566368,53.4411466,-7727797502955529216,73,2,0,0,0,0.5,1,1,2,2
-2.2566693,53.4465396,2277113781933741824,53,1,0,0,0,0.25,0.25,0.5,1,2
-2.2566856,53.4492361,-6539516393388987392,63,0,1,0,0,0.25,0.25,0.5,1,2
-2.2567127,53.4537303,-4155465383613604352,74,1,0,0,0,0.25,0.25,0.5,1,2
-2.2567236,53.455528,3644611249090808320,76,1,0,0,0,0.25,0.25,0.5,1,2
-2.2549214,53.4060949,7825575789392472064,77,0,1,0,0,0.25,0.25,0.5,1,2
-2.2549375,53.4087914,4616863920785016832,115,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2537654,53.4645228,6611880053056355328,72,1,0,0,0,0.25,0.25,0.5,1,2
-2.2521259,53.442055,4164675140155534848,102,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2489572,53.4150961,-5300423288364412928,119,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2490518,53.4312752,8508474655642063872,125,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2491413,53.4465555,-499528539499273472,70,0,0,1,0,0.25,0.25,0.5,1,2
-2.2474736,53.4186946,-6605711644699558912,35,0,0,0,1,0.25,0.25,0.5,1,2
-2.2474893,53.4213911,-6638174946424822784,18,0,0,0,1,0.25,0.25,0.5,1,2
-2.245995,53.4231919,8072546588513413120,108,1,2,0,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2460469,53.4321803,-4748077364415549440,45,1,0,0,0,0.25,0.25,0.5,1,2
-2.2461665,53.4528537,5070807781310827520,99,0,1,0,0,0.25,0.25,0.5,1,2
-2.2461977,53.4582467,8907491340653719552,85,1,0,0,0,0.25,0.25,0.5,1,2
-2.2444747,53.4204985,-3364574189870694912,62,0,0,2,0,0.5,1,1,2,2
-2.2445521,53.4339811,1769455742939329280,97,0,0,1,0,0.25,0.25,0.5,1,2
-2.2446141,53.4447672,-757688021104144640,55,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2431343,53.4492645,17445471515811558,87,0,0,0,1,0.25,0.25,0.5,1,2
-2.2414602,53.4196057,7.480125240018e+18,120,0,0,0,1,0.25,0.25,0.5,1,2
-2.2414959,53.4258976,2284183142951257856,145,0,1,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2415061,53.4276953,5430031713043068928,67,1,0,0,0,0.25,0.25,0.5,1,2
-2.2415265,53.4312907,-8101132867654452224,58,0,0,0,1,0.25,0.25,0.5,1,2
-2.239991,53.4259007,-7923449936269306880,121,1,1,1,1,1,0,0,0,0
-2.2400214,53.4312937,5567086842704958464,51,0,0,1,0,0.25,0.25,0.5,1,2
-2.240062,53.4384845,-4556176508422569472,87,1,0,0,0,0.25,0.25,0.5,1,2
-2.2401584,53.4555625,8135992453152823296,219,0,0,0,1,0.25,0.25,0.5,1,2
-2.2369363,53.4178171,3059311806497755648,149,1,0,0,0,0.25,0.25,0.5,1,2
-2.268578,53.4249409,6092494660767023104,3,0,0,0,1,0.25,0.25,0.5,1,2
-2.2686801,53.44112,1561323099836115712,77,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2687539,53.4528049,4435147735059116544,95,3,0,1,0,1,2,1.4142135623731,2,1.4142135623731
-2.2671803,53.4420223,8472544758162132992,52,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2672142,53.4474153,8694117606224232448,207,2,3,1,1,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.3197018,53.4194218,1068379028218899200,66,0,1,0,0,0.25,0.25,0.5,1,2
-2.3167059,53.4212275,-3151774157821626880,79,0,1,0,0,0.25,0.25,0.5,1,2
-2.3151812,53.4185349,-6627967021053607936,23,1,0,0,0,0.25,0.25,0.5,1,2
-2.3120403,53.400566,4308582908528414208,34,0,0,0,1,0.25,0.25,0.5,1,2
-2.3106543,53.4167491,-8564265810641817600,53,0,0,1,0,0.25,0.25,0.5,1,2
-2.3107199,53.4257375,-1210008449453492480,116,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.3108314,53.4410177,2307080451340467712,57,0,0,0,1,0.25,0.25,0.5,1,2
-2.3076127,53.4122627,-7932639458173422592,63,2,0,0,0,0.5,1,1,2,2
-2.3077101,53.4257453,-216920937321455904,90,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.306018,53.3996828,-460389489827642624,93,0,0,1,0,0.25,0.25,0.5,1,2
-2.30616,53.4194573,3497841882076226048,56,0,1,0,0,0.25,0.25,0.5,1,2
-2.3063605,53.4473212,4994792913309042688,113,1,0,0,0,0.25,0.25,0.5,1,2
-2.3064058,53.4536131,-402653414636394752,102,0,0,1,0,0.25,0.25,0.5,1,2
-2.3034198,53.4572161,1994615677405374208,132,0,1,0,0,0.25,0.25,0.5,1,2
-2.3016461,53.4194688,-6406849693434921984,91,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.3016525,53.4203676,7782118650345762816,73,0,0,1,0,0.25,0.25,0.5,1,2
-2.3016652,53.4221653,-1524254435643443456,102,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.3016716,53.4230641,63255042699384552,56,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.3016971,53.4266595,6365922817232086016,21,0,1,0,0,0.25,0.25,0.5,1,2
-2.3000592,53.4077876,-2840180346388541952,50,1,2,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.3001161,53.4158772,2576591799082665472,74,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2985927,53.4131845,-1600903935231875328,98,2,0,2,1,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2986368,53.4194763,-8420865694140217344,58,1,1,0,4,1.5,3,1.73205080756888,2,1.15470053837925
-2.2988198,53.4455427,5964035679653808128,110,2,0,0,0,0.5,1,1,2,2
-2.2971008,53.4149859,3219679103544351232,35,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2971447,53.4212778,-9087925838978185216,79,2,0,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2971887,53.4275697,7947607257456283648,68,0,0,0,1,0.25,0.25,0.5,1,2
-2.2955901,53.4140908,4276783679812051456,63,1,4,1,1,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2955964,53.4149896,8211603441893608448,35,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2956026,53.4158885,-5196125880247535616,54,1,3,1,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
